                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.0463,                 5.1636,                 1.5101,                0.65486,                0.52897,                0.53529,                0.23494,                 1.7165,                 2.4751,                 1.2347,             0.00065657,             0.00065657,             0.00065657
                      2,                  1.739,                 1.9587,                 1.4343,                0.73156,                0.42424,                0.49256,                0.20832,                 2.0771,                 2.0917,                 1.6757,              0.0013101,              0.0013101,              0.0013101
                      3,                 1.7014,                 1.7809,                 1.3956,                0.65281,                0.46061,                0.52895,                 0.2435,                   1.93,                  3.141,                 1.7226,              0.0019505,              0.0019505,              0.0019505
                      4,                 1.8056,                 1.6252,                 1.4824,                0.40142,                0.27273,                0.22687,                0.08671,                 2.3348,                 2.9006,                 2.3359,              0.0019406,              0.0019406,              0.0019406
                      5,                 1.7001,                 1.5897,                 1.4291,                0.75611,                0.57576,                 0.6519,                0.36683,                 1.6353,                 1.9918,                 1.4805,              0.0019208,              0.0019208,              0.0019208
                      6,                 1.6744,                 1.4338,                 1.4158,                 0.8302,                0.64848,                0.71008,                0.37333,                 1.6586,                 1.3503,                 1.4795,               0.001901,               0.001901,               0.001901
                      7,                   1.61,                 1.3845,                 1.3826,                0.81781,                0.65291,                0.71427,                0.37536,                 1.5737,                 1.4605,                 1.4181,              0.0018812,              0.0018812,              0.0018812
                      8,                 1.6109,                 1.3286,                 1.4188,                 0.7605,                0.66667,                0.71424,                 0.3434,                 1.7201,                  1.629,                 1.4543,              0.0018614,              0.0018614,              0.0018614
                      9,                 1.5877,                 1.3474,                 1.3517,                0.69123,                0.60606,                0.64783,                0.39413,                 1.4959,                 1.6612,                 1.3771,              0.0018416,              0.0018416,              0.0018416
                     10,                 1.5753,                 1.3315,                 1.3733,                0.82958,                0.69697,                0.75181,                0.39789,                 1.6149,                  1.179,                 1.4135,              0.0018218,              0.0018218,              0.0018218
                     11,                 1.5609,                 1.2383,                 1.3515,                0.78949,                0.72734,                0.78239,                0.35153,                 1.7556,                 1.2822,                  1.452,               0.001802,               0.001802,               0.001802
                     12,                 1.5221,                 1.2259,                 1.3529,                0.81188,                0.75853,                0.78575,                0.43772,                 1.6179,                 1.2129,                  1.393,              0.0017822,              0.0017822,              0.0017822
                     13,                 1.5032,                 1.1377,                 1.3137,                0.80614,                0.69697,                0.74695,                0.41331,                 1.5795,                 1.1638,                 1.4081,              0.0017624,              0.0017624,              0.0017624
                     14,                  1.462,                 1.1302,                 1.2788,                0.72575,                0.67361,                0.75139,                0.42744,                 1.4828,                  1.325,                 1.3489,              0.0017426,              0.0017426,              0.0017426
